Title ,Date ,Time,Speaker Name,LinkedIn,Designation,Company,Platform where conducted,Registration,Youtube Link,Duration,Session Summary ,Attendee,Poster Image URL,Post Shared Link on LinkedIn,WatchTime in Hrs.,Likes,Total Views ,Feedbacks ,Resources shared by speaker during session,Screenshots of meetings
A Panel Discussion on Google WE Scholarship,26/11/2024,18:00,"Kavya Choudhary
Ridhy Arora
Sravya Uppalavapati","https://www.linkedin.com/in/ridhy-arora-097784258/
https://www.linkedin.com/in/kavya1610/
https://www.linkedin.com/in/sravyauppalapati16/",Scholars'2024,WE by Google Talentsprint,Google Meet,37,https://youtu.be/T92Vx4-Giy4,39mins 36s,"This panel discussion, hosted by Girls Leading Tech, provides a detailed roadmap for first-year female engineering students interested in the WE Scholarship program. The program is a two-year mentorship initiative supported by Google and managed by TalentSprint, designed to equip women with both technical and corporate skills (0:00 - 1:34).

Program Overview & Benefits:

Skill Development: The scholarship focuses on technical growth, leadership development, and preparing students for the corporate world through one-on-one mentorship with industry experts (1:07, 4:21).
Mentorship: Students gain access to guidance from experienced professionals, including those working at Google, which helps bridge the gap between academic learning and corporate expectations (4:24, 29:56).
Networking & Exposure: A highlight for many scholars is the opportunity to visit Google offices (such as the one in Hyderabad), tour the facilities, and experience corporate culture firsthand, which serves as a powerful motivator (29:56 - 32:30).
The Application & Selection Process:
The program is highly competitive, often seeing tens of thousands of applicants for a few hundred spots. The selection process typically includes four distinct stages (6:36 - 8:05):

Aptitude Test: Focuses on math and logical reasoning. Mock tests provided by the platform are highly recommended (7:16 - 7:35).
Technical Test: Candidates should be comfortable with at least one programming language (Python, Java, or C++). The questions are generally fundamental (11:12, 14:00, 18:39).
English Proficiency Test: Evaluates basic grammar, listening, and speaking skills (8:01, 16:27).
One-on-One Interview: A conversation to gauge the applicant's passion, interest in the program, and basic problem-solving abilities (8:05, 14:15).
Tips for Success:

Master the Fundamentals: You do not need advanced DSA knowledge. Focus on building strong basics in your chosen language and practice on platforms like HackerRank (11:41, 18:39).
Read Instructions Carefully: The panelists emphasized that failure to follow instructions is a common pitfall. Being detail-oriented is key (34:08, 36:11).
Consistency: Dedicating consistent time to practice alongside your college studies is more effective than last-minute cramming (34:38, 36:04).
Handling Rejection:
Panelists stressed that while the WE Scholarship is a fantastic opportunity, it does not define a student's entire career. There are many other pathways to success in tech, such as the Google STEP and SWE internships, which do not strictly require being a WE Scholar (23:16 - 27:00). Rejection should be viewed as practice and a stepping stone to future opportunities.",,,https://www.linkedin.com/posts/girlsleadingtech_we-conducted-a-panel-discussion-on-women-activity-7269402104455147520-ML9g?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,22.8,11,332,,,
Google Step Internship Mentorship Session,04/12/2024,16:00,Jigisha Arora,https://www.linkedin.com/in/jigisha-arora-212ab5256/,Step Intern,Google ,Google Meet,22,https://youtu.be/N3iP6_oaum0,50mins 3 s,"This video features a comprehensive Q&A session with Jigisha Arora, a Google STEP intern, providing valuable insights into the internship application process, interview preparation, and the overall Google intern experience.

Overview of Google STEP Internship
Purpose: The STEP (Student Training in Engineering Program) is designed for second-year undergraduate students, offering an early opportunity to gain industry experience (03:00).
Conversion: A significant highlight is that 90-95% of STEP interns are typically converted into SWE (Software Engineering) interns for their third year, increasing the chances of landing a full-time offer (03:31).
Eligibility: While primarily for second-year B.Tech/BE students, Jigisha encourages students to apply regardless of minor eligibility concerns, as the experience is invaluable (20:10-21:25).
Application & Interview Process
Referrals: For off-campus applications, a referral from a Google employee is highly recommended to ensure the application is reviewed amidst a high volume of submissions (04:42, 11:35). Jigisha suggests reaching out to alumni or Google employees via LinkedIn (23:41).
Assessment Rounds: The process typically includes resume submission, an online assessment (OA), and two rounds of technical interviews (05:24).
Technical Preparation:
DSA focus: Interviews are heavily based on Data Structures and Algorithms (DSA) (05:53, 42:52).
Resources: Jigisha recommends Striver’s sheets for structured practice (06:44-08:04). She emphasizes covering a wide variety of topics rather than deep-diving into advanced algorithms (08:16).
Approach: During interviews, focus on providing an optimal solution rather than coding a brute-force approach (18:46). Practice writing clean, readable code and be prepared to discuss time complexity (17:28-19:37).
Internship Life at Google
Projects: Interns are assigned random projects and tech stacks, with initial time allocated for learning (38:37).
Work Environment: The culture is described as supportive and fun, with access to office amenities like gyms, nap rooms, and micro-kitchens (47:55-48:55).
Networking: The speaker encourages engaging with other tech opportunities simultaneously, such as hackathons and internships at companies like PayPal, Flipkart, and Salesforce (34:12-35:45).",,,https://www.linkedin.com/posts/girlsleadingtech_we-had-successfully-organized-an-exclusive-activity-7270116207490457600-5MLH?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,20.8,19,355,,,
Google Summer of Code Mentorship Session,11/12/2024,19:00,"Nishant Singhal 
Angel Sharma","https://www.linkedin.com/in/nishant-singhal19/
https://www.linkedin.com/in/angel-sharma-2a5240260/","GSOC'23 Contributor
GSOC'24 Mentor",Google,Google Meet,78,https://youtu.be/qYo1UFocUwo,1hr 3mins  9 s,"This video is a comprehensive guide to Google Summer of Code (GSOC), featuring insights from Nishant Singhal (GSOC 2022 contributor and 2023 mentor) and Angel Sharma (GSOC 2024 contributor).

1. What is GSOC and its Timeline?
Definition: GSOC is a global, online program focused on bringing new contributors into open-source software development [01:48].

Timeline for 2025:

December 10: Program announced [05:32].

February 5: Deadline for organizations to apply [05:51].

February 19: List of accepted organizations is published [06:04].

March 17 – April 1: Period for student proposal submissions [06:11].

May: Results and slot allocations are announced [06:32].

June – September: The coding period, which can last 3 or 6 months depending on the project [06:40].

2. Selecting an Organization and Project
Filtering: Use tools like gsoc-organizations.dev to filter by tech stack (e.g., React, Django, Flutter) and past participation history [07:32].

Activity Check: Visit the organization's communication channels (Slack, Discord, IRC). If the channel is ""dead,"" the organization might not participate this year [08:48].

Starting Small: Look for ""Good First Issues"" in the GitHub repository. These are beginner-friendly bugs meant for newcomers [10:23].

Research First: Before asking questions, read the CONTRIBUTING.md file. Mentors expect you to do your own research before seeking help [10:47].

3. The Proposal Process
Structure: A strong proposal includes background information, project deliverables, a detailed implementation plan, and a realistic timeline [41:45].

Timeline Importance: Mentors focus heavily on the timeline. You must include buffer time for exams and personal commitments (like festivals) [47:55].

Review: It is highly recommended to get your proposal reviewed by mentors at least 2–3 times before the final submission [18:03].

Quantity: Submitting 2–3 proposals across different organizations is a safe strategy to increase your chances [35:46].

4. Benefits and Stipends
Stipends: Based on project size: Small ($750), Medium ($1,500), and Large ($3,000) [32:43].

Career Growth: GSOC is highly valued by recruiters. Some mentors even offer job opportunities or internships (e.g., at Meta or JetBrains) to high-performing contributors [12:18].

Networking: You gain access to a global community of developers and may be invited to international conferences [12:05].

5. Key Tips for Success
Consistency: Start contributing early (even in December/January) to build rapport with the community [18:24].

Communication: Don't just submit code; talk to the mentors and be active in the community [13:09].

Language Proficiency: You don't need to be an expert. If you understand basic logic, you can learn the specific syntax of a new language while contributing [23:58].",,,https://www.linkedin.com/posts/girlsleadingtech_dont-underestimate-yourself-if-you-believe-activity-7272647348281860096-MNtv?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,9.7,23,263,,,
Google SWE Internship Mentorship Session,13/12/2024,19:00,Divina Pooja John,https://www.linkedin.com/in/divina-john/,Software Engineer ,Google,Google Meet,67,https://youtu.be/J8nHxauzyDs,1hr 15mins 29s,"This video is a detailed mentorship session by Divina Pooja John, a Software Engineer at Google, focused on preparing for Google internships (SWE, STEP) and the Women Engineers (WE) program.

1. Key Internship & Scholarship Opportunities
The session outlines three primary paths for students at different stages of their engineering degree [07:15]:

Google SWE Internship: A 3-month summer internship for 3rd-year students. Hiring primarily happens in July-August, with a second round in January-February [07:23].

STEP Internship: Targeted at 2nd-year students (after the 4th semester). Selection typically occurs during the 3rd or beginning of the 4th semester [08:34].

Google WE (Women Engineers) Program: A 2-year training scholarship for 1st-year students to build a competitive technical profile [09:07].

2. The Selection Process
On-Campus vs. Off-Campus: Google visits select high-profile colleges. For others, students must apply via the Google Careers page [10:12].

Online Assessment (OA): Usually involves two coding questions to be solved in 60 minutes [10:58].

Interviews: Focus almost exclusively on Data Structures and Algorithms (DSA). They typically consist of two technical rounds, with a third round only if the interviewers are undecided [12:04].

WE Program Specifics: Includes an aptitude round (logical reasoning), a language proficiency round, a coding round, and a fitment interview [13:48].

3. Preparation Strategies
Intuition-Based Learning: Divina emphasizes moving beyond rote memorization. Instead of just ""learning the code,"" focus on why a specific data structure is chosen and how to optimize for time and space complexity [41:10].

Language Choice: While Java and C++ are popular, Divina notes that Python is perfectly acceptable as long as you understand its internal workings (e.g., the time complexity of built-in functions like len()) [01:04:16].

DSA Sheets & Contests: Using structured sheets (like Striver’s or NeetCode) is helpful, but participating in timed contests (LeetCode weekly/bi-weekly) is crucial to simulate the pressure of an actual OA [49:33].

Projects: Aim for unique projects that solve real-world problems. Research-based projects or those with measurable impact (e.g., ""improved efficiency by 30%"") stand out more than generic ""copy-paste"" projects [31:56].

4. Resume Tips
Use a professional template (ideally LaTeX via Overleaf) and keep it to one page [56:19].

List skills in descending order of proficiency [57:05].

Include quantifiable achievements (ranks in competitions, percentages, or user metrics) [57:40].

5. Balancing Development and DSA
Divina suggests a split approach: focus on DSA during weekdays for interview readiness and dedicate weekends to development/projects to build a strong portfolio [01:06:19]. For 1st-year students, she encourages exploring various domains (Web, App, AI/ML) before narrowing down a specialization in the 2nd year [01:01:30].",,,https://www.linkedin.com/posts/girlsleadingtech_we-organized-a-mentorship-session-on-google-activity-7273388759600050178-13WR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,16.8,5,245,,,
Uber She++ & Uber Star Internship Mentorship Session,14/12/2024,19:00,Radhika Bansal,https://www.linkedin.com/in/radhika403/,Software Engineer ,Uber,Google Meet,144,https://youtu.be/1bm_ARA1zfo,1hr 15mins 50s,"This video is a detailed mentorship session by Radhika Bansal, an incoming software engineer at Uber, who explains the entire process of landing the Uber She++ and Uber Star Internship.

Below is a detailed summary of the key sections discussed in the video:

1. Uber She++ vs. Uber Star Internship
The speaker clarifies the difference between these two often-confused programs:

Uber She++: A professional development networking event. It is a one-day conference where students can interact with Uber’s leadership, HR, and engineers to understand the company's culture and engineering challenges [02:14].

Uber Star Internship: The actual 2-month summer internship. You cannot apply for this directly; only those shortlisted for the She++ event are eligible to interview for the Star Internship [08:13].

2. Eligibility and Applications
Target Audience: Primarily 2nd-year B.Tech students (or 3rd-year students in dual-degree programs) [02:52].

Inclusivity: Open to female students, the LGBTQ+ community, persons with disabilities (PWD), and students from economically weaker sections (EWS) [02:59].

Off-Campus Opportunity: Previously limited to about 20 top colleges, Uber has now opened applications to off-campus students as well [04:10].

3. The Selection Process
Online Assessment (OA): Unlike many companies, Uber does not shortlist resumes before the test. Everyone who meets the eligibility criteria usually gets a test link [03:30].

Test Format: Typically a 90-minute test on CodeSignal. It includes 3–4 Data Structures and Algorithms (DSA) questions. Topics often include DP, Graphs, Stacks, and Hashing [04:36].

Hiring Manager (HM) Interview: If you are among the top 75–100 performers in the OA, you are invited to She++ and receive an interview call. This round focuses on your projects, development mindset, and behavioral traits rather than live coding [09:57].

4. Internship Perks and Benefits
Stipend: One of the highest for 2nd-year students, increasing annually. For the upcoming batch, the speaker mentions it is approximately ₹1.2 Lakhs per month [09:05].

Networking: The She++ event includes ""Fireside Chats"" with women leaders and an ""Ideathon"" where students brainstorm new features for the Uber app with mentors [06:29].

Logistics: Uber handles all travel, flights, and stay for the conference [05:41].

5. Resume and Interview Tips
Project Impact: Focus on building projects that solve real-world problems rather than simple ""clones"" of existing apps [23:48].

The STAR Method: Use the Situation, Task, Action, Result framework to explain your experiences during the interview [13:25].

Know the Company: Align your answers with Uber’s values, such as ""Great minds don't think alike"" [17:11].

Resume Format: Use Overleaf for a professional appearance. Ensure your GitHub and LinkedIn links are present [01:08:05].

6. Timeline Expectations
Applications: Generally open around December [33:52].

Online Assessment: Usually takes place in late January [34:14].

Event & Interviews: The She++ event happens about a month after OA results, with internship interviews following shortly after [34:35].",,,https://www.linkedin.com/posts/girlsleadingtech_we-successfully-organised-a-mentorship-session-activity-7273738845894975488-h2Xx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,177,67,2000,,,
LinkedIn Masterclass,29/12/2024,19:00,Manik,https://www.linkedin.com/in/mrmanik/,Founder,Girls Leading Tech,Google Meet,66,https://youtu.be/lmOpsbqATyQ,2hrs 27mins 31s,"This is a comprehensive summary of the LinkedIn Masterclass hosted by Manik (@themanikdiaries) for the ""Girls Leading Tech"" community. The session is a deep dive into optimizing a LinkedIn profile to attract opportunities and build a professional brand.

1. Profile Fundamentals: The ""First Impression"" Elements
Manik emphasizes that the first four things a visitor sees are your photo, banner, name, and headline. These must be optimized to ensure the user scrolls further.

Profile Picture [21:24]: Use a clear, high-quality headshot with a smile to project positivity. Avoid passport-size photos or selfies. Solid backgrounds (like yellow) help catch attention.

Banner/Header [15:43]: Never leave it empty. Use it to reflect your personality or achievements. For example, include photos from events you've attended or posters that showcase your niche (e.g., software engineering).

Headline [24:54]: It should be concise and descriptive. Avoid excessive emojis [26:00]. Mention your current roles, certifications, or aspirations (e.g., ""Open Source Contributor"" or ""Aspiring Software Engineer"").

2. Strategic Profile Sections
About Section [38:57]: Write in clear paragraphs (first or third person). Include your strengths, current work, and personal interests (hobbies like reading or traveling) to humanize your profile.

Experience & The ""Number Game"" [45:05]: Use metrics to show impact. Instead of just listing duties, say ""Increased efficiency by 20%"" or ""Managed a team of 10."" Numbers provide credibility and attract recruiters.

Recommendations [32:56]: Seek one or two high-quality recommendations per year from managers or seniors rather than many from peers.

Custom URL [01:03:23]: Personalize your LinkedIn URL (e.g., linkedin.com/in/yourname) to look professional.

3. Content Strategy & Networking
What to Post [56:13]: Share your journey, hackathon wins, event experiences, or learnings from sessions like this masterclass.

The ""Hook"" [55:45]: The first two lines of your post are critical to stop the scroll.

Building Friends, Not Just Connections [01:15:20]: Instead of just adding people, engage with their content via ""Valuable Comments"" [01:14:58]. A 5-minute thoughtful comment is the best first step to building a real connection.

Personalized Notes [01:16:53]: When sending connection requests to high-value individuals, always include a note explaining why you want to connect.

4. Advanced LinkedIn Tools
SSI Score (Social Selling Index) [01:21:57]: This score reflects how well your profile is optimized to be found by recruiters. A score above 50 is generally good for increasing visibility in ""Sales Navigator"" searches.

Job Seeking [01:35:50]: Don't just ""Easy Apply."" Find the hiring manager or employees at the company and reach out with a personalized message to increase your chances.

LinkedIn Premium [43:56]: Recommended primarily for third or fourth-year students actively seeking jobs/internships due to the ""InMail"" features and increased reach.

5. The ""North Star"" Metric [39:50]
Manik advises aligning your entire profile—headline, bio, and posts—toward a single niche (e.g., Healthcare, Web3, or Cloud). Diversifying too much early on makes it harder for recruiters to categorize you.

6. Profile Reviews & Live Advice
The latter half of the video features live critiques of attendee profiles:

Sunjin [01:49:04]: Advised to use numbers in the experience section and make the banner more readable.

Arushi [01:53:07]: Suggested adding GitHub links for projects and starting a posting habit.

Shubhi [02:13:20]: Encouraged starting or joining at least one community/society in college to build leadership experience.

Key Takeaway: LinkedIn is not just a digital resume; it is an ""Opportunity Magnet"" [01:00:01]. By being active, using numbers to prove impact, and engaging authentically, you can land roles and mentorships without traditional applications.",,,https://www.linkedin.com/posts/girlsleadingtech_we-successfully-wrapped-the-linkedin-masterclass-activity-7279190069742084096-LmGw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,14.1,10,242,,,
Linkedin Coachin Mentorship Session,05/01/2025,19:00,Swati Sargam,https://www.linkedin.com/in/swastisargam2002/,LinkedIn Coachin'24 Mentee | Intern JPMC,,Google Meet,165,https://youtu.be/OuRihewdRKg,1 hr 4mins 43s,"This video is a detailed mentorship session hosted by Girls Leading Tech, featuring Swasti Sarum (a LinkedIn CoachIn '24 mentee and upcoming JPMC intern). She provides a comprehensive guide on how to navigate the LinkedIn CoachIn program, from the application stage to securing an internship.

1. Program Overview & Eligibility
What it is: A 4–6 month technical mentorship program designed to prepare female engineering students for Software Development Engineer (SDE) roles [04:31].

Eligibility: Open to 2nd-year B.Tech and 3rd-year Integrated Dual Degree (IDD) female students [05:18].

Focus: Purely technical, focusing on Data Structures and Algorithms (DSA) and problem-solving [05:18].

Key Perk: Participants who complete the mentorship are eligible for a pre-internship interview for the following summer (e.g., 2026) [04:54].

2. The Selection Process (Online Test & Interview)
The first major hurdle is the Online Assessment (OA), typically hosted on HackerRank [07:05].

Test Structure (120 Minutes):

Technical Section: 3 coding questions (Medium level). Topics often include Graphs, Dynamic Programming (DP), Sliding Window, Stacks, and Queues [07:20].

Subjective Section: A ""Statement of Purpose"" (SOP) style question: ""Why do you want to be a part of the CoachIn program?"" [10:10].

Proctoring: The test is proctored with cameras on. Tab switching and copy-pasting are disabled [09:28].

Recruiter Screening Call: After clearing the test, candidates have a 10–15 minute call. This is non-technical and focuses on your motivation, adaptability, and interest in the program [27:41].

3. Mentorship Journey (The ""CoachIn"" Experience)
Once selected, the program is divided into structured learning blocks:

One-on-One Mentoring: Each mentee is paired with a LinkedIn employee for personalized career and technical guidance [38:53].

Monthly Sessions: Monthly deep-dives into specific DSA topics followed by short coding tests [38:10].

Mock Interviews: Conducted by LinkedIn engineers (other than your primary mentor) to provide unbiased feedback on your technical and communication skills [40:12].

Fireside Chats: Interactions with industry leaders and past mentees to understand corporate culture [40:40].

LinkedIn Premium: Mentees receive 6 months of LinkedIn Premium for free [41:25].

4. How to Transition to an Internship
The mentorship itself does not guarantee an internship.

In June (after the mentorship), mentees must register for the Internship Opportunity [45:21].

This involves another coding round and two interview rounds (Technical and HR/Group Discussion) [45:37].

5. Key Advice for Applicants
Prepare the SOP early: Since the subjective question is almost always the same, write it beforehand to save time for coding during the test [12:06].

Attempt the Sample Test: Familiarize yourself with the HackerRank environment to reduce anxiety on the actual test day [07:45].

Focus on Logic: Even if you can't pass all test cases, submit your partial code. Points are often awarded for progress [35:50].

Resource Recommendation: Swasti recommends using the Striver SDE Sheet (191 questions) for a solid DSA foundation in a short time [21:19].",,,https://www.linkedin.com/posts/girlsleadingtech_successfully-organised-1st-mentorship-session-activity-7284979153496350721-iYC0?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,66.6,29,798,,,
Blockchain Fundamentals,21/01/2025,19:00,Muhammad Mudassir,https://www.linkedin.com/in/mohammad-mudassir-b788a41ab/,Support Engineer ,Algorand Foundation,Google Meet,69,https://youtu.be/luBrrTvTtHg,1hr 1mins 52s,"This mentorship session, titled ""Blockchain Fundamentals,"" is led by Mohammad Mudassir, a software engineer at the Algorand Foundation and former researcher at IIT Bombay. He provides a comprehensive overview of blockchain technology, its history, and its future.

1. Evolution of the Internet
Mudassir begins by tracing the history of the web to explain why blockchain is necessary:

Web 1.0 (The Read-Only Web): Characterized by static websites like early Wikipedia or digital newspapers. Users could consume content but not interact or create [04:58].

Web 2.0 (The Social Web): The current era of dynamic, interactive apps like Instagram, Twitter, and YouTube. While it allows content creation, it is centralized, meaning big corporations own and can delete user data [07:08].

Web 3.0 (The Decentralized Web): The future of the internet where users have ownership of their data through decentralized technologies, providing more privacy and censorship resistance [11:46].

2. What is Blockchain?
He defines blockchain using four key pillars: Distributed, Immutable, Transparent, and Ledger [16:38].

Distributed: Data is stored across multiple computers (nodes) rather than a single central server [17:26].

Immutable: Once data is written to the blockchain, it cannot be changed or deleted [18:41].

Transparent: All transactions are visible and traceable on a public ledger [17:47].

Ledger: A digital ""record book"" that tracks all activities and transactions [19:15].

3. Core Concepts and Mechanisms
Consensus Protocols: Since there is no central ""manager,"" the network uses rules called consensus algorithms (like Proof of Work for Bitcoin and Proof of Stake for Ethereum) to ensure all nodes agree on the state of the ledger [33:52].

Smart Contracts: These are self-executing programs stored on the blockchain. Once deployed, they are immutable and automatically handle transactions based on ""if-then"" logic [25:40].

DAOs (Decentralized Autonomous Organizations): Organizations governed by smart contracts rather than a central leadership, where community members use tokens to vote on decisions [43:44].

4. Major Blockchains Explained
Bitcoin: Created by Satoshi Nakamoto in response to the 2008 financial crisis to allow peer-to-peer financial interaction without banks [29:32].

Ethereum: Introduced the ability to run programs (Smart Contracts) on the blockchain, moving beyond just simple payments [31:38].

Algorand: Focuses on solving the ""Blockchain Trilemma"" (balancing security, scalability, and decentralization) using a unique Pure Proof of Stake mechanism [39:53].

5. Career Advice and Resources
In the Q&A session, Mudassir shares tips for aspiring developers:

Tech vs. Crypto: He emphasizes focusing on Blockchain Technology as a career rather than the volatile cryptocurrency market [54:31].

Learning Resources: He recommends the YouTube channel ""Code Eater"" for beginners, the book ""Mastering Bitcoin,"" and the interactive platform ""CryptoZombies"" for learning Solidity [45:52].

Building a Portfolio: He encourages students to participate in hackathons, contribute to Open Source projects, and share their progress on LinkedIn to gain visibility [51:19].

The session concludes with an invitation for students to explore the field further and participate in upcoming developer meetups and internships at the Algorand Foundation [01:01:22].",,,https://www.linkedin.com/posts/girlsleadingtech_unlocking-blockchain-fundamentals-activity-7288355843547308032-wf0-?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,0.8,1,39,,,
Outreachy Mentorship Session,26/01/2025,19:00,Siddhi Agarwal,https://www.linkedin.com/in/siddhi-agr/,Mentee 2024 OCaml,Outreachy,Google Meet,115,https://youtu.be/2IOd-_DABMY,42mins 47s,"This video is a detailed mentorship session by Siddhi Agarwal, a 2024 Outreachy intern with the OCaml organization. She provides a comprehensive guide on the Outreachy internship program, covering the application process, selection criteria, and personal strategies for success.

Overview of Outreachy & Open Source
Mission: Outreachy promotes diversity in tech by providing open-source internships to people who are underrepresented in the tech industry where they live [01:44].

Open Source Concept: Siddhi explains open source as software that is free to use and modify, using Linux as a primary example [02:15].

Inclusivity: The program isn't just for developers; projects range from UX/UI and data science to non-tech fields like marketing and event planning [04:44].

The Application Process
The process consists of two main stages:

Initial Application (Round 1): Starts in early February and involves four essay questions [03:33]. About 1,000 to 2,000 applicants are typically selected to move forward [04:10].

Contribution Period (Round 2): Selected applicants contribute to open-source projects for one month. Mentors evaluate these contributions to choose the final interns [04:25].

Final Selection: Only about 80 applicants worldwide are selected for the actual paid internship [08:46].

Key Tips for the Essay Questions
Use Data: Don't just say you are underrepresented; use numbers. Siddhi used percentages of women in her college and in high-level industry positions to support her claims [06:53].

Cite Sources: If you provide data, include links to the source [07:33].

Personal Narratives: Share specific stories of discrimination or bias you have faced to convince the organizers of your unique situation [08:05].

Early Submission: The initial applications are often processed on a first-come, first-served basis, so apply as early as possible [41:05].

Strategies for the Contribution Period
Project Selection: Choose projects that interest you. Siddhi chose OCaml despite not knowing the language because she found the community and the challenge intriguing [12:15].

Be Proactive: Start contributing within the first 1-2 days. Some projects ""close for contributors"" early if they get too many applicants [26:42].

Communication: Ask for help. Open-source communities are helpful, but you must show effort by checking the ""ReadMe"" files before asking basic questions [25:50].

Soft Skills: Mentors look for a good attitude. Helping other applicants with setup issues can make you stand out [28:21].

Eligibility and Rules
Time Commitment: You must have a two-month holiday or break period to participate. Outreachy requires a full-time commitment and does not allow you to hold another job or internship simultaneously [29:30].

Outreachy vs. GSoC: If you are selected for Google Summer of Code (GSoC), you cannot do Outreachy at the same time. Furthermore, completing a GSoC internship makes you permanently ineligible for Outreachy [38:42].

Q&A Highlights
Resume: Not strictly required but can be attached to the final project proposal [40:38].

DSA: There are no Data Structures and Algorithms (DSA) rounds in the selection process [21:06].

Skill Level: You don't need to be an expert. Many projects list ""low"" skill requirements, allowing you to learn as you contribute [24:38].",,,https://www.linkedin.com/posts/girlsleadingtech_we-have-successfully-organised-a-mentorship-activity-7289656375545053184-992w?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,15.2,12,291,,,
Google Solution Challenge Mentorship Session,02/02/2025,19:00,Krishna Aute,https://www.linkedin.com/in/krishna-aute-195b2b135?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,Winner ,Google Solution Challenge,Google Meet,82,https://youtu.be/-i30xHpXQGY,59mins 58s,"This is a detailed summary of the mentorship session on the Google Solution Challenge, featuring Krishna Aute, a previous winner of the competition. He shares his experience, strategies, and technical advice for students looking to succeed in the 2025 challenge.

1. Competition Overview & 2025 Changes
National Focus: Krishna notes a major change this year: the competition has shifted from a direct global scale to a National level initial stage [03:47]. In India, 100 teams will be selected across regional boot camps, which will then be narrowed down to the top 10 and finally 5 winners [06:21].

SDGs and Problem Statements: The challenge is based on the 17 United Nations Sustainable Development Goals (SDGs) [04:08]. This year, Google has provided 31 specific problem statements to choose from, though students can still propose their own innovative ideas [09:02].

Timeline: Registration runs from January 6 to March 6, with project submissions due by late March [09:38].

2. Krishna’s Winning Project: ""Spoon Share""
Krishna details his project, Spoon Share, which won the challenge by addressing ""Zero Hunger"" and ""No Poverty"" [17:42].

Core Functionality: The app connects surplus food (from events or individuals) with people in need via NGOs [25:54].

Key Features: * Verified Listings: NGOs verify food quality before it appears on the map [26:10].

Zero Waste: Integrated recycling plants process food that is no longer fit for consumption into bio-fertilizers [18:03].

Interactive Mapping: A map view helps users find free food locations nearby [26:23].

3. Building a Winning Team & Product
Team Composition: A team should be 2–4 members [16:45]. Krishna advises against picking just friends; instead, look for diverse skill sets, including non-tech members for documentation and user research [19:14].

Product vs. Project: He emphasizes treating the entry as a product that evolves through continuous feedback, rather than a one-time school project [18:50].

User Research (R&D): Don't just build; go to the ""ground level."" Krishna's team visited smart city offices and interviewed potential users to validate their ideas [30:34].

4. Technical Advice & Presentation Tips
Google Technologies: To win, you must use Google tools. He recommends Flutter for the front end, Firebase for the database/auth, and Google Cloud [22:33].

Focus on AI: This year’s challenge heavily favors AI. Krishna suggests using Gemma, Gemini, or Vertex AI [23:07].

Effective Pitching: * Numbers Matter: Use statistics (e.g., ""22.5 million people suffer from hunger"") to prove the problem's scale [28:45].

Visuals: Use bullet points and icons instead of long paragraphs in slides [38:11].

Architecture Diagrams: Use tools like eraser.io to create professional-grade technical architectures [40:10].

Figma Prototypes: If your app isn't fully coded, a high-fidelity Figma prototype with interactive ""threading"" can still be very impactful for initial rounds [54:05].

5. Prizes and Incentives
Prize Pool: The total prize pool for this year is 8 lakh rupees [14:07].

Certifications: Top 100 teams receive Google Cloud certification vouchers ($100+ value) and exclusive ""swag kits"" [14:27].

Mentorship: Shortlisted teams get direct access to Google mentors from across the globe (e.g., Canada, Nigeria, India) to refine their solutions [11:27].",,,https://www.linkedin.com/posts/girlsleadingtech_we-successfully-conducted-a-mentorship-session-activity-7292584025850789888-NWwJ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,3,6,120,,,
